Table 1. Studies Comparing People with Schizophrenia and Controls,,,,,,,,,,
Title,Authors (Year),Paradigm,Primary Dep. Variable,Population,N (N female),Minimum Acuity Threshold,Target Stimulus Location (Foveal or Peripheral),Finding,Data used for computing effect size,Effect Size (Hedges' G)
Size Discrimination,,,,,,,,,,
Size Constancy in Psychopathology,Harway & Salzman (1964),Size Constancy,Behavior,SCZ,21 (21),20/20,Foveal,SCZ < CON (except in condition with the most contextual cues),"NA (p-values reported for SCZ vs CON differences at conditions 1, 2 and 3, but not 4. No condition-wise difference scores were reported.)",NA
,,,,CON,35 (35),,,,,
Size Constancy of Adolescent Schizophrenics,MacDorman et al. (1964),Size Constancy,Behavior,SCZ,10 (0),20/20,Foveal,SCZ > CON,t(18) = 5.43,-2.326
,,,,CON,10 (0),,,,,
Integrated assessment of visual perception abnormalities in psychotic disorders and relationship with clinical characteristics,Turkozer et al. (2019),Ball in the Hall Illusion,Behavior,SCZ,28 (10),20/25,Foveal,SCZ = CON,"F(1,57) = 1.96",-0.36
,,,,CON,31 (16),,,,,
Grasping behavior in schizophrenia suggests selective impairment in the dorsal visual pathway,King et al. (2008),Ebbinghaus (circle and square frame variant),Behavior: Grip Aperture,SCZ,42 (16),20/20,Foveal,SCZ = CON ,Not extractable (The main f-statistic of interest is not reported and figure only shows within-subject error bars),NA
,,,,CON,42 (23),,,,,
Size estimation in paranoid and nonparanoid schizophrenics: A test of the stimulus redundancy formulation interpretation,Asarnow & Mann (1978),Ebbinghaus,Behavior,SCZ,30 (6),20/40,Foveal,Nonparanoid SCZ < CON at 4000ms viewing duration,NA (No statistics are reported for comparing the paranoid + non-paranoid groups relative to controls.),NA
,,,,CON,15 (5),,,,,
Effects of short-term inpatient treatment on sensitivity to a size contrast illusion in first-episode psychosis and multiple-episode schizophrenia,Silverstein et al. (2013),Ebbinghaus,Behavior,SCZ,21 (5),20/20,Foveal,SCZ < CON ( for first timepoint not including first-episode psychosis),NA (the only relevant statistics are Welch's t which cannot be easily converted to Cohen's D),NA
,,,,CON,27 (13),,,,,
Mueller-Lyer illusion and size estimation performance in schizophrenics compared to normal controls,Rund et al. (1994),Mueller Lyer,Behavior,SCZ,35 (11),not specified,Foveal,SCZ = CON,"SCZ = -28.5 (9)
CON = -23.9 (8.2)",-0.52
,,,,CON,20 (10),,,,,
Information processing in schizophrenia and bipolar disorder: a discriminant analysis,Tam et al. (1998),Mueller Lyer,Behavior,SCZ,26 (13),not specified,Foveal,SCZ > CON,"SCZ = 70.74 (8.54)
CON = 58.27 (6.29)",-1.523
,,,,CON,10 (5),,,,,
Theory of mind and perceptual context-processing in schizophrenia,Uhlhaas et al. (2006),Ebbinghaus,Behavior,SCZ (chronic + episodic),48 (not specified),not specified,Foveal,SCZ = CON,NA (Insufficient Information: can't extract from figure because do not state what the error bars are),NA
,,,,Psychiatric CON,26 (10),,,,,
Orientation Discrimination,,,,,,,,,,
Self-monitoring in schizophrenia: Weighting exteroceptive visual signals against self-generated vestibular cues,Seymour & Kaliuzhna (2022),Tilt Illusion,Behavior,SCZ,19 (6),20/20,Foveal,SCZ = CON,"SCZ: 3.8 (2.2)
CON: 4.2 (2.6)",0.163
,,,,CON,19 (3),,,,,
Symptom severity is associated with leftward lateralization upon contextual modulation of visual vertical in patients with schizophrenia,Razzak et al. (2022),Rod and Frame,Behavior,SCZ,15 (4),not specified,Foveal,Unsigned Errors: SCZ > CON,"F(1,30) = 6.37",-0.872
