"","Study","Paradigm","Effect Size","Standard Error"
"1","Harway & Salzman (1964)","Size",NA,NA
"2","MacDorman et al. (1964)","Size","-2.326","0.589"
"3","Turkozer et al. (2019)","Size","-0.36","0.263"
"4","King et al. (2008)","Size",NA,NA
"5","Asarnow & Mann (1978)","Size",NA,NA
"6","Uhlhaas et al. (2006)","Size",NA,NA
"7","Silverstein et al. (2013)","Size",NA,NA
"8","Rund et al. (1994)","Size","-0.52","0.285"
"9","Tam et al. (1998)","Size","-1.523","0.415"
"10","Seymour & Kaliuzhna (2022)","Orientation","0.174","0.325"
"11","Razzak et al. (2022)","Orientation","-0.872","0.371"
"12","Razzak et al. (2022)","Orientation","-0.283","0.356"
"13","Dakin et al. (2005)","Contrast: Orientation Independent","1.875","0.367"
"14","Barch et al. (2012)","Contrast: Orientation Independent","0.332","0.124"
"15","Strauss et al. (2014)","Contrast: Orientation Independent","0.13","0.133"
"16","Must et al. (2004)","Contrast: Orientation Independent",NA,NA
"17","Must et al. (2004)","Contrast: Orientation Dependent","1.247","0.374"
"18","Keri et al. (2009)","Contrast: Orientation Independent",NA,NA
"19","Keri et al. (2009)","Contrast: Orientation Dependent","1.713","0.292"
"20","Yoon et al. (2009)","Contrast: Orientation Independent","0.196","0.331"
"21","Yoon et al. (2009)","Contrast: Orientation Dependent","0.965","0.349"
"22","Seymour et al. (2013)","Contrast: Orientation Independent","-0.223","0.334"
"23","Seymour et al. (2013)","Contrast: Orientation Independent","-0.165","0.334"
"24","Seymour et al. (2013)","Contrast: Orientation Independent","0.124","0.334"
"25","Seymour et al. (2013)","Contrast: Orientation Dependent","0.719","0.344"
"26","Seymour et al. (2013)","Contrast: Orientation Dependent","0.707","0.344"
"27","Seymour et al. (2013)","Contrast: Orientation Dependent","0.806","0.347"
"28","Serrano-Pedraza et al. (2014)","Contrast: Orientation Independent","1.398","0.334"
"29","Serrano-Pedraza et al. (2014)","Contrast: Orientation Dependent","1.069","0.32"
"30","Keane et al. (2014)","Contrast: Orientation Independent",NA,NA
"31","Keane et al. (2014)","Contrast: Orientation Dependent","0.143","0.289"
"32","Schallmo et al. (2015)","Contrast: Orientation Independent","0.415","0.267"
"33","Schallmo et al. (2015)","Contrast: Orientation Dependent",NA,NA
"34","Pokorny et al. (2023)","Contrast: Orientation Independent","0.862","0.27"
"35","Pokorny et al. (2023)","Contrast: Orientation Dependent","0.523","0.263"
"36","Keri et al. (2005)","Contrast: Distance Independent","1.267","0.332"
"37","Keri et al. (2005)","Contrast: Distance Independent","1.385","0.337"
"38","Keri et al. (2005)","Contrast: Distance Independent","1.394","0.337"
"39","Keri et al. (2005)","Contrast: Distance Independent","1.228","0.33"
"40","Keri et al. (2005)","Contrast: Distance Independent","0.766","0.314"
"41","Keri et al. (2005)","Contrast: Distance Independent","0.442","0.306"
"42","Tadin et al. (2006)","Motion",NA,NA
"43","Chen et al. (2008)","Motion","-1.495","0.319"
"44","Schallmo et al. (2013)","Contour","0.67","0.283"
"45","Schallmo et al. (2013)","Contour","-0.463","0.279"
"46","Pokorny et al. (2021)","Contour","0.613","0.259"
"47","Pokorny et al. (2021)","Contour","0.186","0.254"
