"","Study","Paradigm","Effect Size","Standard Error"
"1","MacDorman et al. 1964","Size","-2.326","0.589"
"2","Turkozer et al. 2019","Size","-0.36","0.263"
"3","King et al. 2008","Size",NA,NA
"4","Rund et al. 1994","Size","-0.52","0.285"
"5","Tam et al. 1998","Size","-1.523","0.415"
"6","Kantrowitz et al. 2009","Size","0.036","0.373"
"7","Bolte et al. 2007","Size","1.275","0.402"
"8","Seymour & Kaliuzhna. 2022","Orientation","0.163","0.325"
"9","Razzak et al. 2022","Orientation","0.872","0.371"
"10","Razzak et al. 2022","Orientation","0.283","0.356"
"11","Dakin et al. 2005","Contrast: Orientation Independent","1.875","0.367"
"12","Barch et al. 2012","Contrast: Orientation Independent","0.332","0.124"
"13","Strauss et al. 2014","Contrast: Orientation Independent","0.13","0.133"
"14","Must et al. 2004","Contrast: Orientation Independent","0.68","0.352"
"15","Must et al. 2004","Contrast: Orientation Dependent","1.247","0.374"
"16","Keri et al. 2009","Contrast: Orientation Independent","0.865","0.262"
"17","Keri et al. 2009","Contrast: Orientation Dependent","1.713","0.292"
"18","Yoon et al. 2009","Contrast: Orientation Independent","0.196","0.331"
"19","Yoon et al. 2009","Contrast: Orientation Dependent","0.965","0.349"
"20","Seymour et al. 2013","Contrast: Orientation Independent","0.324","0.336"
"21","Seymour et al. 2013","Contrast: Orientation Independent","0.324","0.336"
"22","Seymour et al. 2013","Contrast: Orientation Independent","0.324","0.336"
"23","Seymour et al. 2013","Contrast: Orientation Dependent","0.719","0.344"
"24","Seymour et al. 2013","Contrast: Orientation Dependent","0.707","0.344"
"25","Seymour et al. 2013","Contrast: Orientation Dependent","0.806","0.347"
"26","Serrano-Pedraza et al. 2014","Contrast: Orientation Independent","1.398","0.334"
"27","Serrano-Pedraza et al. 2014","Contrast: Orientation Dependent","1.069","0.32"
"28","Keane et al. 2014","Contrast: Orientation Independent","0.779","0.3"
"29","Keane et al. 2014","Contrast: Orientation Dependent","0.143","0.289"
"30","Schallmo et al. 2015","Contrast: Orientation Independent","0.415","0.267"
"31","Schallmo et al. 2015","Contrast: Orientation Dependent",NA,NA
"32","Pokorny et al. 2023","Contrast: Orientation Dependent","0.859","0.27"
"33","Keri et al. 2005","Contrast: Distance Independent","0.226","0.304"
"34","Keri et al. 2005","Contrast: Distance Independent","1.267","0.332"
"35","Keri et al. 2005","Contrast: Distance Independent","1.385","0.337"
"36","Keri et al. 2005","Contrast: Distance Independent","1.394","0.337"
"37","Keri et al. 2005","Contrast: Distance Independent","1.228","0.33"
"38","Keri et al. 2005","Contrast: Distance Independent","0.766","0.314"
"39","Keri et al. 2005","Contrast: Distance Independent","0.442","0.306"
"40","Tadin et al. 2006","Motion",NA,NA
"41","Chen et al. 2008","Motion","-1.495","0.319"
"42","Schallmo et al. 2013","Contour","0.67","0.283"
"43","Schallmo et al. 2013","Contour","-0.463","0.279"
"44","Pokorny et al. 2021","Contour","0.756","0.262"
"45","Kaliuzhna et al. 2019","Luminance","0.216","0.11"
"46","Kaliuzhna et al. 2019","Luminance","0.112","0.317"
"47","Kaliuzhna et al. 2019","Luminance","0.062","0.317"
"48","Roinishvili et al. 2015","Spatial Offset","0.05","0.359"
"49","Yang et al. 2013","Size","-0.108","0.279"
"50","Yang et al. 2013","Motion","-0.108","0.294"
"51","Yang et al. 2013","Orientation","-0.423","0.287"
"52","Yang et al. 2013","Contrast","0.63","0.291"
"53","Yang et al. 2013","Luminance","0.305","0.283"
"54","Tibber et al. 2013","Luminance","-0.197","0.28"
"55","Tibber et al. 2013","Contrast","0.669","0.301"
"56","Tibber et al. 2013","Orientation","0.384","0.286"
"57","Tibber et al. 2013","Size","0.512","0.288"
"58","Robol et al. 2013","Contour","0.346","0.336"
"59","Robol et al. 2013","Orientation","1.187","0.425"
"60","Grzeczkowski et al. 2018 - Sample 1","Size","0.02","0.324"
"61","Grzeczkowski et al. 2018 - Sample 1","Size","-0.264","0.326"
"62","Grzeczkowski et al. 2018 - Sample 1","Size","0.157","0.325"
"63","Grzeczkowski et al. 2018 - Sample 1","Contrast","0.313","0.326"
"64","Grzeczkowski et al. 2018 - Sample 1","Size","0.108","0.325"
"65","Grzeczkowski et al. 2018 - Sample 1","Luminance","-0.392","0.328"
"66","Grzeczkowski et al. 2018 - Sample 1","Orientation","0.186","0.325"
"67","Grzeczkowski et al. 2018 - Sample 2","Size","-0.129","0.193"
"68","Grzeczkowski et al. 2018 - Sample 2","Size","-0.06","0.204"
"69","Grzeczkowski et al. 2018 - Sample 2","Size","0.159","0.198"
"70","Grzeczkowski et al. 2018 - Sample 2","Size","0.179","0.195"
"71","Grzeczkowski et al. 2018 - Sample 2","Size","0.119","0.206"
"72","Grzeczkowski et al. 2018 - Sample 2","Size","0","0.196"
"73","Grzeczkowski et al. 2018 - Sample 2","Size","-0.208","0.199"
"74","Grzeczkowski et al. 2018 - Sample 2","Contrast","0.427","0.202"
"75","Grzeczkowski et al. 2018 - Sample 2","Luminance","0.07","0.193"
"76","Grzeczkowski et al. 2018 - Sample 2","Orientation","-0.079","0.194"
