"","Authors (Year)","Minimum Acuity Threshold","Target Stimulus Location (Foveal or Peripheral)","Effect Size (Hedges' G)"
"1","Harway & Salzman (1964)","20/20","Foveal",NA
"2","MacDorman et al. (1964)","20/20","Foveal","-2.326"
"3","Turkozer et al. (2019)","20/25","Foveal","-0.36"
"4","King et al. (2008)","20/20","Foveal",NA
"5","Asarnow & Mann (1978)","20/40","Foveal",NA
"6","Silverstein et al. (2013)","20/20","Foveal",NA
"7","Rund et al. (1994)","None","Foveal","-0.52"
"8","Tam et al. (1998)","None","Foveal","-1.523"
"9","Uhlhaas et al. (2006)","None","Foveal",NA
"10","Seymour & Kaliuzhna (2022)","20/20","Foveal","0.163"
"11","Razzak et al. (2022)","None","Foveal","-0.872"
"12","Razzak et al. (2022)","None","Foveal","-0.283"
"13","Dakin et al. (2005)","None","Foveal","1.875"
"14","Barch et al. (2012)","None","Foveal","0.332"
"15","Strauss et al. (2014)","None","Foveal","0.13"
"16","Must et al. (2004)","20/20","Foveal",NA
"17","Must et al. (2004)","20/20","Foveal","1.247"
"18","Keri et al. (2009)","None","Foveal",NA
"19","Keri et al. (2009)","None","Foveal","1.713"
"20","Yoon et al. (2009)","None","Peri.","0.196"
"21","Yoon et al. (2009)","None","Peri.","0.965"
"22","Seymour et al. (2013)","20/20","Peri.","-0.223"
"23","Seymour et al. (2013)","20/20","Peri.","-0.165"
"24","Seymour et al. (2013)","20/20","Peri.","0.124"
"25","Seymour et al. (2013)","20/20","Peri.","0.719"
"26","Seymour et al. (2013)","20/20","Peri.","0.707"
"27","Seymour et al. (2013)","20/20","Peri.","0.806"
"28","Serrano-Pedraza et al. (2014)","20/20","Peri.","1.398"
"29","Serrano-Pedraza et al. (2014)","20/20","Peri.","1.069"
"30","Keane et al. (2014)","Matched","Foveal",NA
"31","Keane et al. (2014)","Matched","Foveal","0.143"
"32","Schallmo et al. (2015)","20/20","Peri.","0.415"
"33","Schallmo et al. (2015)","20/20","Peri.",NA
"34","Pokorny et al. (2023)","20/50","Peri.","0.862"
"35","Pokorny et al. (2023)","20/50","Peri.","0.523"
"36","Keri et al. (2005)","20/20","Foveal","1.267"
"37","Keri et al. (2005)","20/20","Foveal","1.385"
"38","Keri et al. (2005)","20/20","Foveal","1.394"
"39","Keri et al. (2005)","20/20","Foveal","1.228"
"40","Keri et al. (2005)","20/20","Foveal","0.766"
"41","Keri et al. (2005)","20/20","Foveal","0.442"
"42","Tadin et al. (2006)","None","Foveal",NA
"43","Chen et al. (2008)","None","Foveal","-1.495"
"44","Schallmo et al. (2013)","20/20","Peri.","0.67"
"45","Schallmo et al. (2013)","20/20","Peri.","-0.463"
"46","Pokorny et al. (2021)","20/40","Peri.","0.613"
"47","Pokorny et al. (2021)","20/40","Peri.","0.186"
"48","Pokorny et al. (2021)","20/40","Peri.","0.403"
"49","Kaliuzhna et al. (2019)","20/20","Foveal","0.216"
"50","Kaliuzhna et al. (2019)","20/20","Foveal","0.112"
"51","Kaliuzhna et al. (2019)","20/20","Foveal","0.062"
"52","Roinishvili et al. (2015)","20/25","Foveal","0.05"
"53","Bolte et al. (2007)","None","Foveal","1.275"
"54","Kantrowitz et al. (2009)","20/30","Foveal","-0.813"
"55","Kantrowitz et al. (2009)","20/30","Foveal","0.113"
"56","Kantrowitz et al. (2009)","20/30","Foveal","-0.215"
"57","Kantrowitz et al. (2009)","20/30","Foveal","0.827"
"58","Yang et al. (2013)","20/30","Foveal","0.63"
"59","Yang et al. (2013)","20/30","Foveal","0.305"
"60","Yang et al. (2013)","20/30","Foveal","-0.108"
"61","Yang et al. (2013)","20/30","Foveal","-0.423"
"62","Yang et al. (2013)","20/30","Foveal","-0.108"
"63","Tibber et al. (2013)","None","Foveal","0.669"
"64","Tibber et al. (2013)","None","Foveal","-0.197"
"65","Tibber et al. (2013)","None","Foveal","0.384"
"66","Tibber et al. (2013)","None","Foveal","0.512"
"67","Robol et al. (2013)","None","Peri.","0.346"
"68","Robol et al. (2013)","None","Peri.","1.187"
"69","Grzeczkowski et al. (2018)","20/25","Foveal","0.02"
"70","Grzeczkowski et al. (2018)","20/25","Foveal","-0.264"
"71","Grzeczkowski et al. (2018)","20/25","Foveal","0.157"
"72","Grzeczkowski et al. (2018)","20/25","Foveal","0.108"
"73","Grzeczkowski et al. (2018)","20/25","Foveal","0.186"
"74","Grzeczkowski et al. (2018)","20/25","Foveal","0.313"
"75","Grzeczkowski et al. (2018)","20/25","Foveal","-0.392"
"76","Grzeczkowski et al. (2018)","20/25","Foveal","-0.129"
"77","Grzeczkowski et al. (2018)","20/25","Foveal","-0.06"
"78","Grzeczkowski et al. (2018)","20/25","Foveal","0.159"
"79","Grzeczkowski et al. (2018)","20/25","Foveal","-0.208"
"80","Grzeczkowski et al. (2018)","20/25","Foveal","0.179"
"81","Grzeczkowski et al. (2018)","20/25","Foveal","0.119"
"82","Grzeczkowski et al. (2018)","20/25","Foveal","0"
"83","Grzeczkowski et al. (2018)","20/25","Foveal","0.427"
"84","Grzeczkowski et al. (2018)","20/25","Foveal","0.07"
"85","Grzeczkowski et al. (2018)","20/25","Foveal","-0.079"
