"","Study","Effect Size","Standard Error"
"1","Weak suppression of visual context in chronic schizophrenia","1.875","0.367"
"2","The clinical translation of a measure of gain control:
The Contrast-Contrast Effect Task","0.332","0.124"
"3","Temporal stability and moderating effects of age and sex on CNTRaCS task performance","0.13","0.018"
"4","Reduced facilitation effect of collinear flankers on contrast detection","0.68","0.352"
"5","Attentional modulation of perceptual organisation in schizophrenia","0.865","0.262"
"6","Diminished Orientation-Specific Surround Suppression of Visual","0.196","0.331"
"7","Altered Contextual Modulation of Primary Visual Cortex
Responses in Schizophrenia","1.134","0.36"
"8","Reduced visual surround suppression in schizophrenia shown by measuring contrast detection thresholds","1.398","0.334"
"9","Multiple forms of contour grouping deficits in schizophrenia","0.779","0.3"
"10","Reduced contextual effects on visual contrast perception in schizophrenia and bipolar affective disorder","0.415","0.071"
"11","Weakened untuned gain control is associated with schizophrenia while atypical
orientation-tuned suppression depends on visual acuity","0.859","0.073"
"12","Lateral interactions in the visual cortex of patients with schizophrenia
and bipolar disorder","0.958","0.102"
