"","Study","Total N","Domain","Illusion","Effect Size","Standard Error"
"1","Harway & Salzman (1964)",NA,"Size","Size Constancy",NA,NA
"2","MacDorman et al. (1964)","20","Size","Size Constancy","-2.326","0.589"
"3","Turkozer et al. (2019)","59","Size","Ball in the Hall","0.36","0.263"
"4","King et al. (2008)","84","Size","Delbeouf (square frame variant)",NA,NA
"5","Asarnow & Mann (1978)","45","Size","Ebbinghaus",NA,NA
"6","Uhlhaas et al. (2006) - 1","70","Size","Ebbinghaus",NA,NA
"7","Uhlhaas et al. (2006) - 2","74","Size","Ebbinghaus",NA,NA
"8","Silverstein et al. (2013)","48","Size","Ebbinghaus",NA,NA
"9","Cromwell (1968)","45","Size","Mueller-Lyer",NA,NA
"10","Rund et al. (1994)","55","Size","Mueller-Lyer","-0.52","0.285"
"11","Tam et al. (1998)","36","Size","Mueller-Lyer","-1.523","0.415"
"12","Parnas et al. (2001)","33","Size","Mueller-Lyer",NA,NA
"13","Seymour & Kaliuzhna (2022)","38","Orientation","Tilt Illusion","0.174","0.325"
"14","Razzak et al. (2022)","32","Orientation","Rod and Frame","-0.872","0.371"
"15","Razzak et al. (2022)","32","Orientation","Rod and Frame","-0.283","0.356"
"16","Dakin et al. (2005)","48","Contrast: Orientation Independent","Unoriented Contrast-Contrast","1.875","0.367"
"17","Barch et al. (2012)","262","Contrast: Orientation Independent","Unoriented Contrast-Contrast","0.332","0.124"
"18","Strauss et al. (2014)","230","Contrast: Orientation Independent","Unoriented Contrast-Contrast","0.13","0.133"
"19","Must et al. (2004)","35","Contrast: Orientation Independent","Collinear Flankers",NA,NA
"20","Must et al. (2004)","35","Contrast: Orientation Dependent","Collinear Flankers","1.247","0.374"
"21","Keri et al. (2005) - 1","55","Contrast: Orientation Dependent","Collinear Flankers","1.36","0.309"
"22","Keri et al. (2005) - 1","55","Contrast: Orientation Independent","Collinear Flankers",NA,NA
"23","Keri et al. (2009)","68","Contrast: Orientation Independent","Collinear Flankers",NA,NA
"24","Keri et al. (2009)","68","Contrast: Orientation Dependent","Collinear Flankers","1.713","0.292"
"25","Keane et al. (2014)","48","Contrast: Orientation Independent","Collinear Flankers",NA,NA
"26","Keane et al. (2014)","48","Contrast: Orientation Dependent","Collinear Flankers","0.143","0.289"
"27","Keane et al. (2019)","88","Contrast: Orientation Dependent","Collinear Flankers","-0.213","0.216"
"28","Keane et al. (2019)","88","Contrast: Orientation Dependent","Collinear Flankers","0.302","0.216"
"29","Yoon et al. (2009)","37","Contrast: Orientation Independent","Oriented Contrast-Contrast","0.196","0.331"
"30","Yoon et al. (2009)","37","Contrast: Orientation Dependent","Oriented Contrast-Contrast","0.965","0.349"
"31","Seymour et al. (2013)","36","Contrast: Orientation Independent","Oriented Contrast-Contrast","-0.223","0.334"
"32","Seymour et al. (2013)","36","Contrast: Orientation Independent","Oriented Contrast-Contrast","-0.165","0.334"
"33","Seymour et al. (2013)","36","Contrast: Orientation Independent","Oriented Contrast-Contrast","0.124","0.334"
"34","Seymour et al. (2013)","36","Contrast: Orientation Dependent","Oriented Contrast-Contrast","0.719","0.344"
"35","Seymour et al. (2013)","36","Contrast: Orientation Dependent","Oriented Contrast-Contrast","0.707","0.344"
"36","Seymour et al. (2013)","36","Contrast: Orientation Dependent","Oriented Contrast-Contrast","0.806","0.347"
"37","Serrano-Pedraza et al. (2014)","45","Contrast: Orientation Independent","Oriented Contrast-Contrast","1.398","0.334"
"38","Serrano-Pedraza et al. (2014)","45","Contrast: Orientation Dependent","Oriented Contrast-Contrast","1.069","0.32"
"39","Schallmo et al. (2015)","61","Contrast: Orientation Independent","Oriented Contrast-Contrast","0.415","0.267"
"40","Schallmo et al. (2015)","61","Contrast: Orientation Dependent","Oriented Contrast-Contrast",NA,NA
"41","Pokorny et al. (2023)","60","Contrast: Orientation Independent","Oriented Contrast-Contrast","0.862","0.27"
