groupIDs,para.p2.meanAmp.contra,rand.p2.meanAmp.contra,orth.p2.meanAmp.contra,para.p3.meanAmp.CPz,rand.p3.meanAmp.CPz,orth.p3.meanAmp.CPz,jit_deg_para,jit_deg_para,jit_deg_para,conmod_para,conmod_orth
1,2.239660082,2.383773616,2.960128854,1.020806,1.169349,0.70266,15.52040816,18.81818182,24.49038462,-3.3,5.67
1,2.330769441,1.300569963,2.032171195,1.395495,1.973457,1.100089,16.70192308,14.32653061,10.38461538,2.38,-3.94
1,2.506065094,2.411969577,2.449219308,3.262684,3.041793,2.256772,7.29,7.216981132,12.70588235,0.07,5.49
1,1.258491797,0.9660075237,1.957675598,3.648979,4.422256,3.546944,10.14705882,12.97058824,18.9,-2.82,5.93
1,-4.003350017,-3.377072592,-3.497097278,1.299426,0.534475,-0.0579,12.87,18.08490566,21.44117647,-5.21,3.36
1,0.600582111,0.9085397073,1.546525587,0.901132,1.326395,0.674341,7.323529412,7.442307692,15.66,-0.12,8.22
1,0.592347662,-0.2949067683,1.75757157,4.800165,4.780376,4.075749,15.8877551,15.44117647,18.61764706,0.45,3.18
1,1.868684162,1.00943376,1.08799081,1.186535,1.711464,1.293027,9.970588235,12.97058824,15.57692308,-3,2.61
1,0.5036133856,1.155693825,0.1221063701,1.726245,2.967086,2.0158,7.29,12.97058824,12.80769231,-5.68,-0.16
1,2.438806935,0.6516804263,1.105107503,1.895368,1.746216,1.270628,9,9,18,0,9
1,5.049965141,5.982934552,4.700507373,1.74844,2.987588,2.635474,13.5,13.5,13.5,0,0
1,4.25323893,3.84320519,5.508933351,1.693287,1.198597,1.642299,29.4,32.175,32.97540984,-2.78,0.8
1,-2.040120186,0.3105998877,1.667559072,1.846822,1.040687,0.650268,13.06730769,15.66,21.5,-2.59,5.84
1,-1.727994979,-0.8340241137,-1.859238511,2.42594,2.70417,0.880058,10.03846154,18.45,21.03061224,-8.41,2.58
1,1.97545151,2.197101964,1.816057257,1.652024,2.248571,1.055232,18.25,18.77884615,24.66,-0.53,5.88
1,2.694339717,4.076330078,4.099972791,0.970278,1.016798,0.83617,18.45,18.61764706,23.4,-0.17,4.78
1,-0.3783731899,0.4702133905,0.09720358175,1.899201,0.86544,-0.20935,10.19387755,20.59615385,20.59615385,-10.4,0
1,1.277513107,0.6143000414,0.1660971192,2.116507,0.823476,0.609923,12.97058824,21.11538462,20.91176471,-8.14,-0.2
1,-1.313238533,-1.580563667,-1.468411872,0.188493,0.888656,0.602292,7.323529412,9.833333333,10.14705882,-2.51,0.31
1,0.2381809203,-0.1609873248,-1.108684898,0.510913,0.637773,0.521861,7.29,7.442307692,7.182692308,-0.15,-0.26
1,2.476211482,1.316743846,1.80578394,0.242012,0.06539,0.278997,7.411764706,9.9,7.333333333,-2.49,-2.57
1,2.494423927,3.581220719,1.867670439,1.407777,1.422875,1.772732,19.05882353,21.03061224,21.63461538,-1.97,0.6
1,-1.30203539,0.6849096332,1.175070298,0.613695,0.221341,0.215769,20.25,25.85294118,21.24,-5.6,-4.61
1,3.395203057,3.121341859,4.026297504,0.667893,0.72884,1.841055,14.58,17.08163265,7.235294118,-2.5,-9.85
1,2.991330736,3.765686469,3.801388807,0.592941,0.0556,0.341153,13.93269231,15.24489796,12.97058824,-1.31,-2.27
1,4.328510972,5.493041178,4.929331299,1.563257,0.885499,0.71991,11.47959184,19.83673469,18.50943396,-8.36,-1.33
1,1.508663404,1.809434899,1.691789288,3.080266,2.420018,1.6706,14.53846154,22.68,18.34615385,-8.14,-4.33
3,-0.199249699,0.6793778623,1.460687149,0.502731,0.562262,0.413575,10.38461538,12.97058824,16.02,-2.59,3.05
3,0.06336473272,0.1158981985,0.0173209881,1.266337,1.558637,0.666728,9.9,9.970588235,18.17647059,-0.07,8.21
3,-3.291711022,-1.824326709,-0.5729782228,1.364499,0.822041,0.401986,17.40566038,22.5,23.64705882,-5.09,1.15
3,-1.377170674,-0.8462513554,-1.297729699,-0.64222,0.422374,-0.63053,10.14705882,15.57692308,21.5,-5.43,5.92
3,-2.776591894,-2.983965915,-1.752946398,1.222927,1.298135,0.987274,12.80769231,15.66,21.78,-2.85,6.12
3,-2.200580124,-2.441210437,-1.800288428,0.87439,0.495668,0.636184,17.11764706,28.27358491,26.65384615,-11.16,-1.62
3,0.2227042617,0.443062099,-0.1066551568,1.041029,1.066292,1.257015,10.08,12.6,10.21153846,-2.52,-2.39
3,-0.1145600802,0.1568627492,-0.2748560658,0.641702,0.448944,0.583673,15.44117647,18.61764706,18.50943396,-3.18,-0.11
3,2.86740957,3.112829586,3.650141977,1.673338,1.64654,1.199308,13.5,18,22.5,-4.5,4.5
3,2.427380383,2.09038244,1.678120333,0.381815,0.337151,-0.31358,12.70588235,18.66666667,21.375,-5.96,2.71
3,2.677376386,2.890623827,1.822888098,4.873365,3.291267,1.785171,9.933962264,16.02,20.59615385,-6.09,4.58
3,1.61822335,2.125921873,1.535293183,1.50784,1.149036,0.800767,21.24,24.26470588,24.11320755,-3.02,-0.15
3,0.6267736957,2.039466348,0.4033074069,0.89885,0.099374,0.693531,10.21153846,23.78571429,21.44117647,-13.57,-2.34
3,0.1939851327,1.004872817,1.10556053,0.421081,0.782549,0.308647,12.90566038,10.08,15.3,2.83,5.22
3,2.434709768,2.163099757,4.056410041,1.226752,1.276418,1.404731,9.970588235,10.26,13.14,-0.29,2.88
3,1.987426791,2.233469041,2.56576281,1.266716,0.504879,1.221922,10.08,15.79411765,24.26470588,-5.71,8.47
3,0.1000933715,-0.58296857,0.113914163,2.811255,2.451325,1.41761,7.269230769,15.5,21.63461538,-8.23,6.13
3,2.38194382,3.546685477,0.6842858514,1.209601,2.13984,0.407792,15.23076923,21.11538462,19.21153846,-5.88,-1.9
3,-0.8313047249,-0.241196524,-0.4715585426,1.072661,1.361917,1.04848,13.14,13.14,22.15384615,0,9.01
3,-3.522636636,-4.288498009,-3.663160539,1.083918,0.703668,0.015209,11.54716981,17.22115385,15.66,-5.67,-1.56
3,-3.249659304,-3.370316907,-2.174636732,0.92071,0.492866,0.101076,14.36538462,26.26530612,24.70754717,-11.9,-1.56
3,0.665795631,1.548399848,1.623161246,-0.00358,0.289677,-0.042,11.29411765,26.28,15.79411765,-14.99,-10.49
3,0.1617426176,0.6762912616,1.096444545,0.705101,0.668302,0.555473,22.75471698,28.86792453,24.42857143,-6.11,-4.44
5,6.063570115,4.897321343,6.273333613,5.892809,6.28647,5.744066,15.3,22.15384615,21.44117647,-6.85,-0.71
5,0.6712418807,1.028900346,0.965283542,0.905557,0.931309,0.60937,19.41176471,20.64705882,23.64705882,-1.24,3
5,2.507002025,1.629594893,1.610019586,2.409691,2.630198,1.536561,12.97058824,17.91346154,25.09615385,-4.94,7.18
5,3.325686423,3.168685706,2.913501559,2.334679,1.852371,1.648281,15.36792453,20.91176471,18.61764706,-5.54,-2.29
5,-2.380640619,-1.612952466,-1.422759916,4.358445,3.245243,1.60061,18.66666667,21.375,23.88461538,-2.71,2.51
5,-0.5535760227,-0.5560062269,0.8982111235,6.772975,5.442906,4.192375,9.865384615,18.2755102,21.44117647,-8.41,3.17
5,-2.031201585,-2.180424772,-1.306151823,1.985668,1.576643,1.309285,16.02,18.61764706,25.09615385,-2.6,6.48
5,3.59169317,3.754198278,3.681196152,1.722852,2.124697,1.497732,15.92307692,21.44117647,19.05882353,-5.52,-2.38
5,1.985614852,1.751930937,1.700730527,3.375476,2.156569,2.580336,15.5,18.45,21.11538462,-2.95,2.67
5,-1.939247186,-1.136347874,-1.814825241,3.132599,2.162109,1.691602,15.70754717,24.66,26.65384615,-8.95,1.99
