Table 1. Studies Comparing People with Schizophrenia and Controls,,,,,,,,,,
Title,Authors (Year),Paradigm,Primary Dep. Variable,Groups,N (N female),Minimum Acuity Threshold,Target Stimulus Location (Foveal or Peripheral),Finding,Data used for computing effect size,Effect Size (Hedges' G)
Size Perception,,,,,,,,,,
Size Constancy in Psychopathology,Harway & Salzman (1964),Size Constancy,Behavior,SCZ,21 (21),20/20,Foveal,SCZ < CON (except in condition with the most contextual cues),"NA (p-values reported for SCZ vs CON differences at conditions 1, 2 and 3, but not 4. No condition-wise difference scores were reported.)",NA
,,,,CON,35 (35),,,,,
Size Constancy of Adolescent Schizophrenics,MacDorman et al. (1964),Size Constancy,Behavior,SCZ,10 (0),20/20,Foveal,SCZ > CON,t(18) = 5.43,-2.326
,,,,CON,10 (0),,,,,
Integrated assessment of visual perception abnormalities in psychotic disorders and relationship with clinical characteristics,Turkozer et al. (2019),Ball in the Hall,Behavior,SCZ,28 (10),20/25,Foveal,SCZ = CON,"F(1,57) = 1.96",-0.36
,,,,CON,31 (16),,,,,
Grasping behavior in schizophrenia suggests selective impairment in the dorsal visual pathway,King et al. (2008),Delbeouf (square frame variant),Behavior,SCZ,42 (16),20/20,Foveal,SCZ = CON ,Not extractable (The main f-statistic of interest is not reported and figure only shows within-subject error bars),NA
,,,,CON,42 (23),,,,,
Size estimation in paranoid and nonparanoid schizophrenics: A test of the stimulus redundancy formulation interpretation,Asarnow & Mann (1978),Ebbinghaus,Behavior,SCZ,30 (6),20/40,Foveal,Nonparanoid SCZ < CON at 4000ms viewing duration,NA (No statistics are reported for comparing the paranoid + non-paranoid groups relative to controls.),NA
,,,,CON,15 (5),,,,,
Perceptual grouping in disorganized schizophrenia,Uhlhaas et al. (2006),Ebbinghaus (other tasks reported but not ineligiblefor inclusion),Behavior,SCZ (disorganized + non-disorganized),35 (6),Not specified,Foveal,SCZ = CON,NA (relevant statistics/data not reported),NA
,,,,Psychiatric CON,35 (14),,,,,
Theory of mind and perceptual context-processing in schizophrenia,Uhlhaas et al. (2006),Ebbinghaus,Behavior,SCZ (chronic + episodic),48 (not specified),Not specified,Foveal,SCZ = CON,NA (relevant statistics/data not reported),NA
,,,,Psychiatric CON,26 (10),,,,,
Effects of short-term inpatient treatment on sensitivity to a size contrast illusion in first-episode psychosis and multiple-episode schizophrenia,Silverstein et al. (2013),Ebbinghaus,Behavior,SCZ,21 (5),20/20,Foveal,SCZ < CON ( for first timepoint not including first-episode psychosis),NA (the only relevant statistics are Welch's t which cannot be easily converted to Cohen's D),NA
,,,,CON,27 (13),,,,,
Stimulus redundancy and schizophrenia,Cromwell (1968),Mueller-Lyer,Behavior,SCZ (paranoid + non-paranoid),30 (0),Not specified,Foveal,"Paranoid SCZ > CON, but non-paranoid SCZ = CON.",NA (relevant statistics/data not reported),NA
,,,,CON,15 (0),,,,,
Mueller-Lyer illusion and size estimation performance in schizophrenics compared to normal controls,Rund et al. (1994),Mueller Lyer,Behavior,SCZ,35 (11),Not specified,Foveal,SCZ = CON,"SCZ = -28.5 (9)
CON = -23.9 (8.2)",-0.52
,,,,CON,20 (10),,,,,
Information processing in schizophrenia and bipolar disorder: a discriminant analysis,Tam et al. (1998),Mueller Lyer,Behavior,SCZ,26 (13),Not specified,Foveal,SCZ > CON,"SCZ = 70.74 (8.54)
CON = 58.27 (6.29)",-1.523
,,,,CON,10 (5),,,,,
Visual binding abilities in the initial and advanced stages of schizophrenia,Parnas et al. (2001),"Mueller-Lyer (other tasks are also reported, but none manipulated visuospatial context)",Behavior,SCZ (chronic + initial),19 (8),20/20,Foveal,SCZ > CON,NA (relevant statistics/data not reported),NA
,,,,CON,14 (8),,,,,
Orientation Perception,,,,,,,,,,
