"","Study","Effect Size","Standard Error"
"1","Size Constancy of Adolescent Schizophrenics","-2.326","0.589"
"2","Integrated assessment of visual perception abnormalities in psychotic","-0.36","0.263"
"3","Grasping behavior in schizophrenia suggests selective impairment in the dorsal visual pathway",NA,NA
"4","Mueller-Lyer illusion and size estimation performance in schizophrenics compared to normal controls","-0.52","0.285"
"5","Information processing in schizophrenia and bipolar disorder: a discriminant analysis","-1.523","0.415"
"6","Seeing the world dimly: The impact of early visual deficits on visual","0.036","0.373"
"7","Gestalt perception and local-global processing in high-functioning autism","1.275","0.402"
"8","Visual context processing in bipolar disorder: A comparison with schizophrenia","-0.108","0.078"
"9","Visual surround suppression in schizophrenia","0.511","0.088"
"10","Is the perception of illusions abnormal in schizophrenia? Experiment 1","0.005","0.106"
"11","Is the perception of illusions abnormal in schizophrenia? Experiment 2","0.009","0.038"
